observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
bf798,Introduction general,canvas.Screen,0,weiter,keypress(q),response,17139.099999237,861,359.6,876.2,18015.299999237,18017,2024-05-04T05:56:44Z,18026.3,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,3,20.2.4,https://neurocog.fernuni.ch/studies/vweber/jbaenninger/encoding_immediate/index.html?vp=157&sess=3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",Win32,de,de-CH,Europe/Zurich,-120,1920,1080,1872,910,1872,958,1,production,f5b4a49f956347addd546a832a3327688c2c0fef
bf798,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,8727.3999988556,18017.399999619,18009.732,18026.3,26753.699998856,26754.699998856,2024-05-04T05:56:53Z,26759.7,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bf798,Deep Question,html.Page,1_1_0_0_0,NA,NA,form submission,5141.8,26755,26742.702,26759.7,31901.5,31901.799999237,2024-05-04T05:56:58Z,31909.6,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bf798,"""Richtig""-Screen",canvas.Screen,1_1_0_0_1,NA,NA,skipped,NA,31903.100000381,NA,NA,31901.5,31903.299999237,2024-05-04T05:56:58Z,31909.6,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bf798,"""Falsch""-Screen",canvas.Screen,1_1_0_0_2,NA,NA,timeout,5000.1,31904.100000381,31893.118,31909.6,36892.9,36893.899999619,2024-05-04T05:57:03Z,36909.7,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bf798,deep,flow.Sequence,1_1_0_0,NA,NA,completion,10133.2,26755,26742.702,26759.7,36892.9,36894.299999237,2024-05-04T05:57:03Z,36909.7,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bf798,shallow,flow.Sequence,1_1_0_1,NA,NA,skipped,NA,36894.399999619,NA,NA,36892.9,36894.600000381,2024-05-04T05:57:03Z,36909.7,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bf798,task,flow.Sequence,1_1_0,NA,NA,completion,10133.2,26755,26742.702,26759.7,36892.9,36894.799999237,2024-05-04T05:57:03Z,36909.7,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bf798,deep,flow.Sequence,1_1_1_0,NA,NA,skipped,NA,36894.899999619,NA,NA,36892.9,36895,2024-05-04T05:57:03Z,36909.7,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bf798,Shallow Question,html.Page,1_1_1_1_0,NA,NA,form submission,7175.8,36895.199998856,36892.9,36909.7,44085.5,44085.799999237,2024-05-04T05:57:11Z,44092.8,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bf798,"""Richtig""-Screen",canvas.Screen,1_1_1_1_1,NA,NA,skipped,NA,44086.600000381,NA,NA,44085.5,44086.699998856,2024-05-04T05:57:11Z,44092.8,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bf798,"""Falsch""-Screen",canvas.Screen,1_1_1_1_2,NA,NA,timeout,5000.1,44087.399999619,44076.42,44092.8,49076.3,49077,2024-05-04T05:57:16Z,49092.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bf798,shallow,flow.Sequence,1_1_1_1,NA,NA,completion,12166.6,36895.199998856,36892.9,36909.7,49076.3,49077.399999619,2024-05-04T05:57:16Z,49092.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bf798,task,flow.Sequence,1_1_1,NA,NA,completion,12166.6,36894.899999619,36892.9,36909.7,49076.3,49077.600000381,2024-05-04T05:57:16Z,49092.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bf798,deep,flow.Sequence,1_1_2_0,NA,NA,skipped,NA,49077.699998856,NA,NA,49076.3,49077.899999619,2024-05-04T05:57:16Z,49092.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bf798,Shallow Question,html.Page,1_1_2_1_0,NA,NA,form submission,4953.9999996185,49077.899999619,49076.3,49092.9,54046.899999619,54047.100000381,2024-05-04T05:57:20Z,54059.7,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bf798,"""Richtig""-Screen",canvas.Screen,1_1_2_1_1,NA,NA,skipped,NA,54047.799999237,NA,NA,54046.899999619,54048,2024-05-04T05:57:20Z,54059.7,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bf798,"""Falsch""-Screen",canvas.Screen,1_1_2_1_2,NA,NA,timeout,4999.9,54048.699998856,54043.066,54059.7,59042.9,59043.600000381,2024-05-04T05:57:25Z,59059.6,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bf798,shallow,flow.Sequence,1_1_2_1,NA,NA,completion,9950,49077.899999619,49076.3,49092.9,59042.9,59043.899999619,2024-05-04T05:57:25Z,59059.6,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bf798,task,flow.Sequence,1_1_2,NA,NA,completion,9950,49077.699998856,49076.3,49092.9,59042.9,59044.199998856,2024-05-04T05:57:25Z,59059.6,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bf798,deep,flow.Sequence,1_1_3_0,NA,NA,skipped,NA,59044.299999237,NA,NA,59042.9,59044.399999619,2024-05-04T05:57:25Z,59059.6,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bf798,Shallow Question,html.Page,1_1_3_1_0,NA,NA,form submission,4828.5000003815,59044.5,59042.9,59059.6,63888.100000381,63888.399999619,2024-05-04T05:57:30Z,63893.026,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bf798,"""Richtig""-Screen",canvas.Screen,1_1_3_1_1,NA,NA,skipped,NA,63890,NA,NA,63888.100000381,63890.199998856,2024-05-04T05:57:30Z,63893.026,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bf798,"""Falsch""-Screen",canvas.Screen,1_1_3_1_2,NA,NA,timeout,4999.874,63890.699998856,63893.026,63893.026,68876.2,68877,2024-05-04T05:57:35Z,68892.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bf798,shallow,flow.Sequence,1_1_3_1,NA,NA,completion,9816.6,59044.5,59042.9,59059.6,68876.2,68877.299999237,2024-05-04T05:57:35Z,68892.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bf798,task,flow.Sequence,1_1_3,NA,NA,completion,9816.6,59044.299999237,59042.9,59059.6,68876.2,68877.5,2024-05-04T05:57:35Z,68892.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bf798,Deep Question,html.Page,1_1_4_0_0,NA,NA,form submission,2672.3999992371,68877.699998856,68876.2,68892.9,71565.299999237,71565.5,2024-05-04T05:57:38Z,71576.2,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bf798,"""Richtig""-Screen",canvas.Screen,1_1_4_0_1,NA,NA,skipped,NA,71567.299999237,NA,NA,71565.299999237,71567.399999619,2024-05-04T05:57:38Z,71576.2,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bf798,"""Falsch""-Screen",canvas.Screen,1_1_4_0_2,NA,NA,timeout,5000.1,71568.100000381,71559.7,71576.2,76559.6,76560.199998856,2024-05-04T05:57:43Z,76576.3,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bf798,deep,flow.Sequence,1_1_4_0,NA,NA,completion,7666.7,68877.699998856,68876.2,68892.9,76559.6,76560.5,2024-05-04T05:57:43Z,76576.3,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bf798,shallow,flow.Sequence,1_1_4_1,NA,NA,skipped,NA,76560.699998856,NA,NA,76559.6,76560.799999237,2024-05-04T05:57:43Z,76576.3,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
